Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2K70ZV0Ls65Kkj0WUEfHlz,"7K3zpFXBvPcvzhj7zlGJdO","Kerosene","(III)","Crystal Castles",2012-01-01,192000,79,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"alternative dance,bitpop,digital hardcore,indietronica,neo-synthpop,new rave,nintendocore",0.52,0.532,8,-9.752,1,0.0822,0.0869,0,0.135,0.0793,118.004,4
0RgKtaVv27Nff2y29qaD8W,"1TTHC3GlNDaE5eVoC3BVxm","ICEWHORE!","ICEWHORE!","Lumi Athena",2023-03-24,79052,76,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"sigilkore,sped up",0.397,0.917,10,-6.193,0,0.0516,0.0237,0.366,0.138,0.0722,174.344,4
6Ql2mpc1EbGp0GI6CbaGT4,"5QMXdarD6sqSoapAEX51x8,7tlCdVZ037kAOuupObsQss","vampire heart","vampire heart","Isak Roen,Key Kelly",2023-02-21,144000,71,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"sped up",0.323,0.736,10,-5.823,0,0.0369,0.00132,0.869,0.0998,0.214,139.95,5
3gVhsZtseYtY1fMuyYq06F,"6wWVKhxIU2cEi0K81v7HvP","Sonne","Mutter","Rammstein",2001-04-02,272440,80,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"german metal,industrial,industrial metal,industrial rock,neue deutsche harte",0.51,0.917,4,-4.806,0,0.0854,0.0054,0.000133,0.396,0.313,75.098,4
6MhZvfVvid8R18ykct5Tl3,"5WY1yCgtVHWjKPI5nwLSue","Chug Jug With You","Chug Jug With You","Leonz",2021-03-23,130194,63,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"meme",0.886,0.732,2,-5.104,1,0.0595,0.344,0,0.168,0.783,124.094,4
6RS6BovE6tnIOvUt53igjm,"0daugAjUgbJSqdlyYNwIbT,7BtP9ddB2rW3Q5TDfsI5YG","Voices In My Head","Voices In My Head","Vicetone,Chelsea Collins",2023-07-21,180367,42,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"edm,electro house,pop dance,progressive electro house,modern alternative pop",0.437,0.717,6,-6.009,0,0.0525,0.449,0.151,0.474,0.617,139.816,4
7oVEtyuv9NBmnytsCIsY5I,"6XyY86QOPPrYVGvF9ch6wz","BURN IT DOWN","LIVING THINGS","Linkin Park",2012-06-20,230253,77,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"alternative metal,nu metal,post-grunge,rap metal,rock",0.585,0.972,9,-4.45,0,0.0534,0.0143,0,0.0707,0.585,110.006,4
5yfnAsPrvrjiLOhWFycNP4,"65etXZIRd8KjC0pCYhD9wI,0UAfgrYSLcjHNocndTNjhH,02jdatQ743BTSYp4wbNMA5","I'm Only a Fool for You","I'm Only a Fool for You","Dybbukk Covers,Dybbukk,Domingo Morales",2018-04-04,61175,76,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"sad lo-fi,slowed and reverb,sped up",0.552,0.322,6,-9.789,0,0.0957,0.0864,0.721,0.137,0.569,58.087,4
3M0lSi5WW79CXQamgSBIjx,"7cYEt1pqMgXJdq00hAwVpT","Swim","Chase Atlantic","Chase Atlantic",2017-10-04,228786,85,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"alternative r&b",0.666,0.542,8,-6.429,1,0.0392,0.27,0,0.0765,0.0771,120.134,4
7kUljt0NM5sISL3OGNVxYd,"3exvMmrLV6o4R42YnG3Id6,1HD6q5dxREv64GOc3H7vBs,38wxcfNEqMwuPniHvplin5","Royalty","Royalty","Egzod,Maestro Chives,Neoni",2021-04-22,223520,82,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"dark r&b",0.388,0.855,4,-4.229,0,0.0644,0.0181,0.0000811,0.137,0.32,80.121,4
0bpmBKuehVqxXeYtdeTqEG,"0e86yPdC41PGRkLp2Q1Bph","The Matrix","The Matrix","Mother Mother",2023-11-03,201722,62,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"pov: indie,vancouver indie",0.489,0.836,4,-5.872,1,0.0537,0.00115,0.00473,0.669,0.54,154.034,4
0wrWxW18WK2MkrfDpRHkyh,"2mAYpnSe3g2Y22JcZ2ddku","Me and the Devil","Sugarbread","Soap&Skin",2013-03-11,185000,76,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"austrian pop,melancholia",0.397,0.446,7,-7.032,1,0.0373,0.49,0.00892,0.111,0.214,178.05,4
6IPwKM3fUUzlElbvKw2sKl,"3uwAm6vQy7kWPS2bciKWx9","we fell in love in october","we fell in love in october / October Passed Me By","girl in red",2018-11-21,184153,89,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"bedroom pop,indie pop,norwegian indie,pov: indie",0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,4
6GUiIbJ834FcHewby3PwV0,"2W8yFh0Ga6Yf3jiayVxwkE","Breakfast","Breakfast","Dove Cameron",2022-06-24,148470,73,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"pop",0.64,0.553,2,-6.42,0,0.0411,0.0579,0,0.0914,0.486,81.992,4
7MlDNspYwfqnHxORufupwq,"7I3bkknknQkIiatWiupQgD","Sex, Drugs, Etc.","Pineapple Sunrise","Beach Weather",2023-03-03,196784,84,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"pov: indie",0.57,0.842,4,-5.085,0,0.0381,0.0136,0.00876,0.524,0.47,143.975,4
2Kt1XplPBQBsDKQDa6TssB,"77SW9BnxLY8rJ0RciFqkHh","Flawless","I Love You.","The Neighbourhood",2013-04-19,246493,73,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"modern alternative rock,modern rock,pop,pov: indie",0.568,0.871,0,-3.453,1,0.0308,0.0553,0.51,0.303,0.374,119.99,4
776AftMmFFAWUIEAb3lHhw,"0lAWpj5szCSwM4rUMHYmrr","ZITTI E BUONI","Teatro d'ira - Vol. I","Måneskin",2021-03-19,194786,75,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"indie rock italiano,italian pop",0.625,0.939,4,-3.115,0,0.0669,0.00138,0,0.424,0.644,102.999,4
3Wrjm47oTz2sjIgck11l5e,"0lAWpj5szCSwM4rUMHYmrr","Beggin'","Chosen","Måneskin",2017-12-08,211560,85,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"indie rock italiano,italian pop",0.714,0.8,11,-4.808,0,0.0504,0.127,0,0.359,0.589,134.002,4
45JYEmfoWSpCA3Paut7YXE,"67MNhiAICFY6Pwc2YxCO0K","MIDDLE OF THE NIGHT","PHOENIX","Elley Duhé",2023-10-27,184453,74,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"alt z",0.528,0.659,4,-6.942,0,0.0386,0.0279,0,0.12,0.102,92.823,3
5UHHuxxYFnuE5KBbpl4Hzu,"0lAWpj5szCSwM4rUMHYmrr","HONEY (ARE U COMING?)","RUSH!","Måneskin",2023-01-20,167276,73,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"indie rock italiano,italian pop",0.476,0.94,7,-2.349,0,0.0806,0.00196,0.00000145,0.141,0.372,139.987,4
75c2zaSdDBSX0A8Jyvm4fO,"5arKwJZEvT5uKq4o0JfqR4","older","older","Isabel LaRosa",2023-09-15,137778,82,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"dark r&b,hyperpop,sped up",0.466,0.51,3,-7.31,0,0.0348,0.0842,0.00000155,0.0912,0.418,67.513,4
63mdJr3NMY3wReOkNE6c6W,"0C8ZW7ezQVs4URX5aX7Kqx","People You Know","Rare","Selena Gomez",2020-01-10,194900,80,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"pop,post-teen pop",0.695,0.62,8,-8.082,0,0.0521,0.0881,0.0000543,0.111,0.62,150.032,4
37vVp2sWHuuIBOSl1NswP6,"5arKwJZEvT5uKq4o0JfqR4","i'm yours","i'm yours","Isabel LaRosa",2022-10-28,145667,81,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"dark r&b,hyperpop,sped up",0.398,0.705,5,-7.07,0,0.0756,0.204,0.0000513,0.443,0.635,111.487,4
4PrGyX4YgCT6V3YqY7XEUw,"7uMDnSZyUYNBPLhPMNuaM2","Only In My Mind","Only In My Mind","Kenya Grace",2023-10-06,161137,74,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"singer-songwriter pop",0.701,0.76,8,-9.588,1,0.107,0.701,0.138,0.111,0.423,143.007,4
1p0jBDjxORjYNJyAphBRpE,"67MNhiAICFY6Pwc2YxCO0K,0vqJkZ0RpLZixt3lTmD8vP","MONEY ON THE DASH","MONEY ON THE DASH","Elley Duhé,Whethan",2023-01-20,145666,76,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"alt z,electropop,hyperpop,indie electropop,rage rap",0.84,0.667,8,-7.126,1,0.0843,0.0439,0.0000134,0.179,0.292,120.044,4
3azJifCSqg9fRij2yKIbWz,"2jku7tDXc6XoB6MO2hFuqg","The Color Violet","Alone At Prom","Tory Lanez",2021-12-10,226466,89,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"canadian hip hop,canadian trap,melodic rap,pop rap,r&b,rap,trap",0.645,0.534,6,-10.8,0,0.0479,0.157,0,0.0863,0.463,105.02,4
36gcliMRX1vCpgnrZE3dFZ,"2o5jDhtHVPhrJdv3cEQ99Z,45dkTj5sMRSjrmBSBeiHym","10:35","DRIVE","Tiësto,Tate McRae",2023-04-21,172252,80,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"big room,brostep,dutch edm,edm,house,pop dance,slap house,trance,alt z,pop",0.696,0.793,8,-5.733,1,0.097,0.0683,0.00000378,0.18,0.698,120.003,4
7E9kejvFw8NDfuu4y3hqkp,"7ITMCzIU9uII8gwRg8JAhc,0647ep4AirMtU3Iq9YcBXm","LOOK DON’T TOUCH (w/ cade clair)","LOOK DON’T TOUCH (w/ cade clair)","Odetari,cade clair",2023-05-17,138240,82,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"sigilkore,sped up",0.684,0.701,4,-11.994,0,0.0751,0.0875,0.135,0.111,0.498,124.969,4
2GWCZJWundoYi5IloWIgTX,"5arKwJZEvT5uKq4o0JfqR4","eyes don't lie","eyes don't lie","Isabel LaRosa",2023-07-07,150720,78,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"dark r&b,hyperpop,sped up",0.555,0.773,8,-9.019,0,0.121,0.0236,0.000941,0.0715,0.255,124.953,4
3rUGC1vUpkDG9CZFHMur1t,"45dkTj5sMRSjrmBSBeiHym","greedy","greedy","Tate McRae",2023-09-15,131872,99,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"alt z,pop",0.75,0.733,6,-3.18,0,0.0319,0.256,0,0.114,0.844,111.018,1
1ChulFMnwxoD74Me8eX2TU,"5WWSL6rElJeUk3Uc1S2RyD","You Spin Me Round (Like a Record)","Evolution: The Hits","Dead Or Alive",1983,195146,76,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"hi-nrg,new romantic,new wave pop,synthpop",0.554,0.963,6,-3.762,0,0.035,0.000244,0.0702,0.431,0.918,128.175,4
5lwQGZYF4BXOzFtXc5zk8q,"4bthk9UfsYUYdcFyqxmSUU,3pAVaThptde5bneOqDfY1I","Head Over Heels - Dave Bascombe 7 N.Mix","Songs From The Big Chair (Deluxe)","Tears For Fears,Dave Bascombe",1985-02-25,257315,73,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"new romantic,new wave,new wave pop,permanent wave,rock,sophisti-pop,synthpop",0.623,0.739,7,-8.116,1,0.0244,0.338,0.0000188,0.109,0.642,95.007,4
1i6N76fftMZhijOzFQ5ZtL,"2x9SpqnPi8rlE9pjHBwmSC","Psycho Killer - 2005 Remaster","Talking Heads '77 (Deluxe Version)","Talking Heads",1977-09-16,261413,77,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"alternative rock,art punk,dance rock,funk rock,new wave,permanent wave,post-punk,rock,zolo",0.721,0.521,2,-8.123,1,0.0613,0.0708,0.00545,0.127,0.942,123.118,4
0DfG1ltJnZyq4Tx3ZLL7ZU,"0hLd40hVpRDGENe4KGZLnW","Rock Me Amadeus","Falco 3","Falco",1985-02-19,202236,66,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"austropop,neue deutsche welle",0.61,0.817,4,-9.45,0,0.133,0.296,0.00336,0.0884,0.89,176.735,4
4ByEFOBuLXpCqvO1kw8Wdm,"3cniTumSiUysiPWXapGx1i","(I Just) Died In Your Arms","Broadcast","Cutting Crew",1986-01-01,280400,82,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"album rock,new romantic,new wave,new wave pop,soft rock",0.625,0.726,11,-11.402,0,0.0444,0.0158,0.000169,0.0625,0.507,124.945,4
7o67roCVsFiCt7Cf0ZLOJq,"77tT1kLj6mCWtFNqiOmP9H","Out of Touch","The Very Best of Daryl Hall / John Oates","Daryl Hall & John Oates",2001-01-23,249573,67,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"album rock,classic rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock,yacht rock",0.806,0.649,9,-9.004,0,0.0347,0.0391,0.0000555,0.0557,0.897,114.834,4
4OdhffpvG3HxDJMxYOKh97,"0uAjBatvB4ubpd4kCfjmNt","I Ran (So Far Away)","A Flock Of Seagulls","A Flock Of Seagulls",1982-04-30,308933,64,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"new romantic,new wave,new wave pop,synthpop",0.507,0.642,2,-12.923,1,0.0323,0.00299,0.606,0.141,0.631,146.154,4
30D9x5LFgL2o9xidjX2wtE,"0GgY7hjMoGDsX8ZDe2mwds,5gqmbbfjcikQBzPB5Hv13I","Casanova","Casanova","Soolking,Gazo",2023-07-06,189090,85,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"french hip hop,pop urbaine,r&b francais,rap algerien,drill francais,rap francais",0.801,0.832,7,-4.579,0,0.208,0.677,0.0000286,0.117,0.758,132.044,4
4kRLRWnn5u9wO2wOKAAdEN,"6R26kGib2ubbZJMh7kKVGV,6MSMZkBlZT4vhQmjO5Ynv3,1rRhJIu1ufxCjbmMWon6ax","Automotivo Bibi Fogosa","Automotivo Bibi Fogosa","Bibi Babydoll,Dj Brunin XM,KZA Produções",2023-05-19,129776,86,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"latin tek,funk mtg",0.726,0.873,9,-3.122,1,0.0266,0.2,0.00000171,0.0953,0.725,135.052,4
3Mi2xcNlzjSbJb2G2tYifl,"2xqJKm6kEppHQzqQSLiRb9,5CJfcT4CIt5Ck7WYxxbCH7","automotivo bibi fogosa - instrumental","automotivo bibi fogosa - instrumental","no/vox,karaokey",2023-07-26,132215,47,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"",0.476,0.707,9,-7.396,1,0.0284,0.000125,0.573,0.19,0.421,134.991,4
65leXqfkdViSssEVN23uYL,"6USv9qhCn6zfxlBQIYJ9qs","Mama's Boy","Mama's Boy","Dominic Fike",2023-06-23,155721,78,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"alternative pop rock,pov: indie",0.807,0.354,9,-7.554,1,0.0321,0.15,0.713,0.186,0.602,78.964,4
6NH02L2LdXUAAb7Kzzc7yO,"6Qaag0N7QlZ7DYy8L5Bq2e","Rindu Semalam","Rindu Semalam","Titi Kamal",2018-11-08,257799,53,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"",0.93,0.638,0,-5.985,0,0.0429,0.197,0.000192,0.213,0.659,105.977,4
0EqczV3o6fwksegAavIHpX,"33rnQWadiG2aauIwIxPxfB,2GBDI5PSiEnVoH0YnFFRLx","LOVELY BASTARDS","LOVELY BASTARDS","ZWE1HVNDXR,yatashigang",2023-08-25,116104,87,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"gym phonk",0.613,0.81,1,-6.16,1,0.488,0.832,0.899,0.137,0.686,150.251,4
4m4vgarfYc1NDr0cC0TXBJ,"5H0EvN3WxKB6HaRpH7OY0z","Own Paradise (Slowed)","Own Paradise (Speed Up+Slowed)","LXAES",2023-05-12,146000,60,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"",0.77,0.767,4,-9.386,1,0.0489,0.00133,0.708,0.174,0.524,100.889,4
0kbBU3ey5IkKwPvDHXJOry,"61TQfpvTjHYQjPrvtJPwVa","The Lost Soul Down X Lost Soul","The Lost Soul Down X Lost Soul","NBSPLV",2023-08-18,151348,76,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"sped up",0.779,0.475,0,-10.388,1,0.0287,0.166,0.908,0.107,0.439,90.035,4
56yjJ8oUT2spGVssMN2K0t,"51RmM0SbVgCsvW86bia6yj","Лес поцелуев","Тёмный лес","Твоё далеко",2018-12-02,144681,35,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"russian indie",0.641,0.705,0,-7.527,1,0.0403,0.0735,0.00475,0.109,0.236,110.022,4
0aWEhkShXHRR628Flc85r2,"2VFXr1f1iMskmkDbW87MmZ","Первый снег","В памяти навечно","Сова",2022-11-25,178570,55,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"russian indie",0.662,0.847,11,-3.58,0,0.0303,0.496,0.00436,0.139,0.93,84.973,4
5dPy1CCYQ04xaQHpajf5CY,"61TQfpvTjHYQjPrvtJPwVa","The Lost Soul Down","The Lost Soul Down","NBSPLV",2015-12-09,192940,81,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"sped up",0.715,0.741,8,-7.478,1,0.0356,0.0117,0.899,0.189,0.761,112,4
33j599xG6AUuZupVA5V2ZF,"763SuGjtCI9H4bCNOPFyrp","Герой","Герой","DAKOOKA",2018-06-01,212000,49,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"russian alt pop,ukrainian indie",0.568,0.459,10,-10.538,0,0.0899,0.136,0.0306,0.113,0.18,114.782,4
3rFHJDslBgt9rHu8p22aFN,"7f5Zgnp2spUuuzKplmRkt7,7miXLG9boDOGHJaEelSL7T","The Feeling - Lost Frequencies & Andromedik Deluxe Mix","The Feeling (Remix Pack)","Lost Frequencies,Andromedik",2023-08-11,194831,69,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"belgian edm,edm,pop dance,tropical house,speedrun",0.539,0.884,2,-2.526,1,0.0506,0.0205,0.0000145,0.126,0.111,174.042,4
15uq77MdhAjrnBuumngIsz,"32ENZVmItiETXMCYfM1bbS","Suffocation - Slowed","Suffocation (Slowed)","noturgf",2023-03-27,64842,77,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"sped up",0.564,0.662,10,-6.085,0,0.0318,0.0044,0.145,0.279,0.511,102.678,4
2Fs2EzT6lR7b2OCu0zzjQL,"39t0Gw2YHcOu6GdEw4V7SA","Russian Girl","C'est la vie","Женя Любич",2011-12-09,146123,59,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"",0.681,0.481,9,-8.33,0,0.0292,0.74,0.00000464,0.0978,0.32,154.967,4
5mjYQaktjmjcMKcUIcqz4s,"7uMDnSZyUYNBPLhPMNuaM2","Strangers","Strangers","Kenya Grace",2023-09-01,172964,96,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"singer-songwriter pop",0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,4
3CisGh5CyKBDnGtjmsszSo,"0Khn06ciCEk0SvcdZty81P","Butterfly","Smile","SMiLE.dk",1998-07-13,177453,62,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"bubblegum dance",0.703,0.985,11,-5.105,1,0.0352,0.214,0.918,0.139,0.776,134.909,4
42qNWdLKCI41S4uzfamhFM,"5jTtGLk1mGFMY5lQOvJYUj","Duvet","Twilight","bôa",2010-04-20,203600,84,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"pov: indie",0.583,0.888,11,-9.414,0,0.0349,0.191,0.0000458,0.0936,0.706,93.206,4
6RK3IsiUW6YaSMEodbO4tk,"63MQldklfxkjYDoUE4Tppz,01OXxPlQj4h9zfK5qjU96P","Solitude - Felsmann + Tiley Reinterpretation","Solitude (Felsmann + Tiley Reinterpretation)","M83,Felsmann + Tiley",2020-05-14,222354,73,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"french shoegaze,french synthpop,indietronica,metropopolis,neo-synthpop,frankfurt electronic",0.367,0.202,0,-11.342,1,0.0313,0.668,0.145,0.109,0.0362,121.865,4
5vwXQUwkpmnkJrfv69L6Mp,"7COP1HCvVq1cIpZcLQYoNe","In My Head","In My Head","Bedroom",2017-01-12,354691,74,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"small room",0.576,0.608,9,-13.537,1,0.0321,0.169,0.916,0.106,0.18,150.9,4
0TvHrcLqLrQxAmT8ILd21V,"6yjz9vY01vOQUcFIAEYVQ0","Call Me - Slowed","Call Me (Slowed)","plenka",2021-10-06,160500,73,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"drift phonk",0.719,0.841,9,-5.669,0,0.0349,0.00265,0.804,0.106,0.302,110.764,4
3pbN3SGJott0Rgb5aE5kqc,"7K3zpFXBvPcvzhj7zlGJdO","Transgender","(III)","Crystal Castles",2012-01-01,184764,73,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"alternative dance,bitpop,digital hardcore,indietronica,neo-synthpop,new rave,nintendocore",0.519,0.913,7,-8.66,1,0.038,0.000176,0.813,0.248,0.0358,137.96,3
4wFeMmJDlgkAxlQ07PbdGZ,"7ApzfFN0BmeeVJPsQBReRv","Sour Switchblade","Sour Switchblade","Elita",2021-09-02,148955,67,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"modern indie pop",0.533,0.865,11,-5.168,1,0.03,0.0405,0.927,0.106,0.86,109.987,4
